chapter,days
"Unit,Dimensions and Measurements",2
Vectors,2
Mechanics,4
Properties of Matter,3
Conservation Laws and Energy Sources,2
Heat,3
Simple harmonic motion,2
Sound,3
Magnetism and Electricity,4
Optics,3
Modern Physics,3
Semiconductor Physics,2
